PENGAHASILAN/BULAN,PENGELUARAN/BULAN,STATUS TANAH,BUKTI KEPEMILIKAN TANAH,STATUS KEPEMILIKAN RUMAH,ASET RUMAH LAIN,ASET TANAH LAIN,PONDASI BANGUNAN,KONDISI KOLOM DAN BALOK,KONDISI KONSTRUKSI ATAP,JENDELA DAN LUBANG CAHAYA,VENTILASI,KAMAR MANDI & JAMBAN,KONDISI MCK,PEMBUANGAN AIR,KONDISI PA,SUMBER AIR MINUM,SUMBER LISTRIK,LUAS RUMAH M2,JUMLAH PENGHUNI,TINGGI BANGUNAN,KAMAR TIDUR & RUANG KELUARGA,MATERIAL ATAP TERLUAS,KONDISI ATAP,MATERIAL DINDING TERLUAS,KONDISI DINDING,MATERIAL LANTAI TERLUAS,LUAS LANTAI,STATUS
"1,2 - 1,8 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,TIDAK LAYAK,TIDAK LAYAK,ADA,"ADA, 5% > DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,70,2,"<  2,4 M2",ADA,GENTENG,BOCOR BERAT,KAYU,RUSAK SEDANG,UBIN,"4 M2 < = X <  7,2 M2",DARURAT
"1,2 - 1,8 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,LAYAK,TIDAK LAYAK,ADA,"ADA, 5% > DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,60,4,"> 2,4 M2",ADA,GENTENG,BOCOR SEDANG,BATA/BATAKO EKSPOSE,RUSAK SEDANG,PLESTER,"4 M2 < = X <  7,2 M2",PRIORITAS 3
"1,2 - 1,8 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,TIDAK LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,0,4,"<  2,4 M2",ADA,GENTENG,BOCOR BERAT,KAYU,RUSAK BERAT,TANAH,"4 M2 < = X <  7,2 M2",DARURAT
"1,2 - 1,8 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,TIDAK LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,60,4,"<  2,4 M2",ADA,GENTENG,BOCOR BERAT,BATA/BATAKO PLESTER,RUSAK SEDANG,UBIN,"4 M2 < = X <  7,2 M2",DARURAT
"1,2 - 1,8 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,TIDAK LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,60,4,"> 2,4 M2",ADA,GENTENG,BOCOR BERAT,BATA/BATAKO PLESTER,RUSAK SEDANG,UBIN,"4 M2 < = X <  7,2 M2",DARURAT
"1,2 - 1,8 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,TIDAK LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,70,6,"<  2,4 M2",ADA,GENTENG,BOCOR BERAT,BATA/BATAKO EKSPOSE,RUSAK SEDANG,PLESTER,"4 M2 < = X <  7,2 M2",DARURAT
"1,2 - 1,8 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,LAYAK,LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,40,2,"<  2,4 M2",ADA,ASBES/SENG/GALVALUM,BOCOR BERAT,BATA/BATAKO EKSPOSE,RUSAK SEDANG,KERAMIK / MARMER,"4 M2 < = X <  7,2 M2",PRIORITAS 3
"< 1,2 JUTA","< 1,2 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,LAYAK,LAYAK,LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,BERFUNGSI,"PERPIPAAN (PDAM, BPSPAM)",PLN,50,4,"<  2,4 M2",ADA,GENTENG,TIDAK BOCOR,BATA/BATAKO PLESTER,TIDAK RUSAK,KERAMIK / MARMER,"4 M2 < = X <  7,2 M2",PRIORITAS 5
"< 1,2 JUTA","< 1,2 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,TIDAK LAYAK,TIDAK LAYAK,ADA,"ADA, 5% < DARI LANTAI",ADA,BERFUNGSI,ADA,TIDAK BERFUNGSI,SUMUR GALI TERLINDUNG,PLN MENUMPANG,50,3,"<  2,4 M2",TIDAK ADA,ASBES/SENG/GALVALUM,BOCOR BERAT,BILIK / BAMBU,RUSAK BERAT,TANAH,"4 M2 < = X <  7,2 M2",DARURAT
"1,2 - 1,8 JUTA","1,2 - 1,8 JUTA",MILIK SENDIRI,HAK MILIK,MILIK SENDIRI,TIDAK ADA,TIDAK ADA,TIDAK LAYAK,TIDAK LAYAK,TIDAK LAYAK,TIDAK ADA,"ADA, 5% < DARI LANTAI",TIDAK ADA,TIDAK BERFUNGSI,ADA,BERFUNGSI,SUMUR GALI TERLINDUNG,PLN,30,3,"<  2,4 M2",ADA,ASBES/SENG/GALVALUM,BOCOR BERAT,KAYU,RUSAK SEDANG,PLESTER,"4 M2 < = X <  7,2 M2",DARURAT
